Unnamed: 0,MODE,sv,sw,gc_dist,r_dist,temp_cntl,export,hazmat,wgt_factor,sctg,naics,orig_state,orig_state_full,states_code_o,orig_ma,dest_state,dest_state_full,states_code_d,dest_ma,sctg_n
5257,3,431,18,1013,1234,0,0,0,3480.7,37,336,26,Michigan,MI,220,48,Texas,TX,206,8
5258,3,1235,3,952,1130,0,0,0,423.3,37,4238,53,Washington,WA,500,6,California,CA,348,8
5259,4,389,3,1082,1544,0,1,0,149.4,37,4541,29,Missouri,MO,312,34,New Jersey,NJ,408,8
5260,3,953,1,1517,2003,0,0,0,185.7,37,332,53,Washington,WA,500,40,Oklahoma,OK,416,8
5261,3,340,2,29,112,0,1,0,385.9,37,332,9,Connecticut,CT,25540,9,Connecticut,CT,25540,8
5262,1,45163,5854,346,542,0,0,0,16.4,37,314,26,Michigan,MI,220,42,Pennsylvania,PA,99999,8
5263,2,46,7,2,3,0,0,0,421.4,37,336,20,Kansas,KS,556,20,Kansas,KS,556,8
5264,2,4761,53,3,3,0,0,0,749.9,37,332,53,Washington,WA,500,53,Washington,WA,500,8
5265,1,48444,33618,1872,2460,0,0,0,16.5,37,336,48,Texas,TX,288,53,Washington,WA,500,8
5266,5,81101,92019,1326,2266,0,0,0,42.6,37,336,48,Texas,TX,288,38,North Dakota,ND,99999,8
5267,4,47,188,595,624,0,0,0,47.9,37,336,49,Utah,UT,482,4,Arizona,AZ,536,8
5268,1,180533,1577,987,1149,0,0,0,15.5,37,336,48,Texas,TX,12420,21,Kentucky,KY,178,8
5269,3,23527,80,779,2557,0,1,0,12.0,37,331,41,Oregon,OR,440,6,California,CA,348,8
5270,3,12634,6,209,314,0,0,0,245.8,37,336,36,New York,NY,408,33,New Hampshire,NH,148,8
5271,4,9292,186,609,653,0,0,0,48.0,37,336,49,Utah,UT,482,6,California,CA,41740,8
5272,2,37106,21,11,15,0,0,0,95.5,37,332,25,Massachusetts,MA,99999,9,Connecticut,CT,25540,8
5273,3,67,1,1642,1801,0,0,0,534.7,37,4238,53,Washington,WA,99999,2,Alaska,AK,99999,8
5274,3,2185,1,1663,1965,0,0,0,43.8,37,335,34,New Jersey,NJ,408,48,Texas,TX,99999,8
5275,3,8115,6,78,160,0,0,0,77.3,37,332,9,Connecticut,CT,25540,36,New York,NY,408,8
5276,1,1162,6,1576,2048,0,0,0,832.5,37,334,53,Washington,WA,500,40,Oklahoma,OK,538,8
5277,3,36,1,5,8,0,0,0,427.1,37,332,20,Kansas,KS,556,20,Kansas,KS,556,8
5278,1,3791,2,137,157,0,0,0,40.7,37,336,9,Connecticut,CT,408,25,Massachusetts,MA,148,8
5279,4,4286,43,923,984,0,0,0,90.1,37,336,12,Florida,FL,45300,42,Pennsylvania,PA,428,8
5280,3,631,12,1052,1187,0,0,0,334.9,37,336,36,New York,NY,160,20,Kansas,KS,556,8
5281,3,1708,5,4,4,0,0,0,254.6,37,336,6,California,CA,348,6,California,CA,348,8
5282,3,688,1,1203,1483,0,0,0,1459.7,37,4238,48,Texas,TX,206,6,California,CA,99999,8
5283,1,1353,397,343,408,0,0,0,418.3,37,335,6,California,CA,348,6,California,CA,99999,8
5284,3,14460,17,928,1230,0,0,0,11.8,37,334,40,Oklahoma,OK,538,49,Utah,UT,482,8
5285,3,24,5,2062,2465,0,0,0,832.9,37,336,36,New York,NY,99999,4,Arizona,AZ,38060,8
5286,1,236,2,1323,1500,0,0,0,605.6,37,336,9,Connecticut,CT,408,20,Kansas,KS,556,8
5287,3,1422,3,215,284,0,0,0,663.4,37,4239,29,Missouri,MO,99999,20,Kansas,KS,556,8
5288,1,45748,1181,1008,1153,0,0,0,15.8,37,332,25,Massachusetts,MA,148,29,Missouri,MO,476,8
5289,1,60552,48,599,751,0,0,0,25.1,37,336,12,Florida,FL,45300,47,Tennessee,TN,99999,8
5290,3,2008,9,1128,1323,0,1,0,95.8,37,314,12,Florida,FL,422,36,New York,NY,99999,8
5291,3,5100,16,106,117,0,0,0,195.4,37,332,6,California,CA,348,6,California,CA,41740,8
5292,4,3907,3,33,174,0,1,0,66.2,37,4238,6,California,CA,348,6,California,CA,348,8
5293,1,52,245,1351,1712,0,1,0,102.9,37,331,17,Illinois,IL,476,30,Montana,MT,99999,8
5294,3,5232,7,2501,2859,0,0,0,100.1,37,4238,6,California,CA,348,36,New York,NY,408,8
5295,4,184322,357,43,186,0,1,0,22.6,37,4238,6,California,CA,348,6,California,CA,348,8
5296,3,8226,15,28,39,0,1,0,39.5,37,4238,12,Florida,FL,370,12,Florida,FL,370,8
5297,1,175,9,3,3,0,0,0,54.0,37,335,53,Washington,WA,500,53,Washington,WA,500,8
5298,3,9693,41,22,1076,0,1,0,385.3,37,332,6,California,CA,348,6,California,CA,348,8
5299,3,3798,3,1437,1731,0,1,0,2099.7,37,336,22,Louisiana,LA,99999,36,New York,NY,99999,8
5300,3,17477,3,936,1084,0,0,0,2763.1,37,334,48,Texas,TX,206,12,Florida,FL,300,8
5301,3,6,1,916,1122,0,0,0,72.9,37,334,20,Kansas,KS,312,49,Utah,UT,482,8
5302,3,1703,5,892,1109,0,0,0,24.4,37,336,12,Florida,FL,45300,42,Pennsylvania,PA,99999,8
5303,4,37303214,21316,1,1,0,0,0,6.1,37,336,42,Pennsylvania,PA,428,42,Pennsylvania,PA,428,8
5304,1,68,1,1057,1277,0,0,0,5424.1,37,336,12,Florida,FL,370,48,Texas,TX,206,8
5305,3,467,1,2177,2614,0,0,0,366.6,37,336,12,Florida,FL,99999,6,California,CA,41740,8
5306,4,36,1,986,1056,0,0,0,248.8,37,336,48,Texas,TX,206,49,Utah,UT,482,8
5307,1,1837,64,290,373,0,0,0,475.6,37,332,48,Texas,TX,99999,20,Kansas,KS,556,8
5308,3,2083,22,801,944,0,0,0,165.4,37,332,36,New York,NY,408,47,Tennessee,TN,400,8
5309,3,5724,36,336,444,0,0,0,82.8,37,332,16,Idaho,ID,99999,41,Oregon,OR,440,8
5310,2,337,13,79,111,0,0,0,172.5,37,4238,9,Connecticut,CT,99999,25,Massachusetts,MA,148,8
5311,3,4553,25,19,653,0,1,0,713.0,37,4238,13,Georgia,GA,122,13,Georgia,GA,122,8
